Name,Surname,Student ID,Birth Year,Phone Number,Enrollment Year,ASSIGN_1,ASSIGN_2,ASSIGN_3,ASSIGN_4,ASSIGN_5,ASSIGN_6,ASSIGN_7,ASSIGN_8,ASSIGN_9,ASSIGN_10,ASSIGN_11,ASSIGN_12,InClass_1,InClass_2,Final
Kyle,MacLardie,0170076482,1994,(381) 8985750,1993,5,5,5,1,1,5,5,6,1,7,0,4,1,7,33
Ola,Savage,3787244107,1985,(370) 2042370,2004,5,3,1,4,7,5,0,5,3,0,5,2,6,5,89
Anallise,Delves,0020121466,2012,(313) 4595071,2000,4,5,0,5,3,6,2,3,1,6,7,7,2,7,74
Quintilla,Bing,0837983053,2003,(229) 5493443,1991,5,4,4,3,7,0,5,3,7,4,2,1,4,2,0
Iver,Klement,7852350437,1992,(457) 1320537,2000,3,5,0,5,5,1,7,2,5,1,7,2,3,2,89
Zeke,Cubberley,9233641589,2008,(275) 7238766,2003,0,6,6,0,2,3,7,2,1,1,7,4,5,1,94
Anetta,Bickell,3471222472,2009,(338) 4017185,2009,0,5,6,0,7,4,4,7,0,2,5,4,4,5,77
Odey,Fayne,6481674026,2005,(962) 1155993,1992,3,2,1,1,2,3,5,0,0,1,2,2,0,0,95
Verna,Hinners,8201050606,1994,(778) 6720450,1986,6,5,5,3,3,7,6,0,0,5,3,1,8,4,3
Gipsy,Mattaus,2394574127,1993,(446) 4621452,1989,3,6,4,3,7,5,7,1,4,3,1,3,0,8,79
Ellette,Reuss,3214273647,2007,(724) 7486682,2012,2,5,3,1,2,7,2,4,7,7,1,6,2,0,4
Lidia,Fumagalli,7837871952,2003,(743) 6049023,2008,1,3,3,4,6,5,4,7,7,2,6,0,6,5,24
Hilly,Swaden,9770452173,2003,(692) 1545934,1998,4,3,4,6,1,4,7,3,3,5,4,3,7,2,35
Guillaume,Kundt,7132561278,2005,(894) 9237383,1997,3,1,3,0,1,5,7,5,3,1,0,5,3,5,46
Harriett,Zarb,8370474888,2000,(174) 8112038,2000,2,2,0,7,7,7,7,6,5,3,4,6,1,7,21
Francesco,Baford,8369398499,2012,(810) 8529960,2011,5,2,3,5,6,5,0,0,3,0,1,1,6,4,68
Tami,Vasishchev,5027718438,1997,(149) 1306008,2003,5,5,7,1,7,4,1,5,0,4,0,7,4,7,98
Maxine,Hartas,9341513308,1997,(220) 4653825,1999,4,7,0,7,2,4,5,4,1,3,3,1,8,5,81
